sensitivity_type,sensitivity_label,scope,individual,common_parameter_min,common_parameter_max,pearson_gdis_profile,spearman_gdis_profile,mean_abs_gdis_difference,primary_gdis_peak_parameter,sensitivity_gdis_peak_parameter,gdis_peak_shift,absolute_gdis_peak_shift,primary_abs_peak_landmark_error,sensitivity_abs_peak_landmark_error,primary_transition_energy_peak_parameter,sensitivity_transition_energy_peak_parameter,transition_energy_peak_shift,absolute_transition_energy_peak_shift,gdis_peak_within_0p05_of_primary
window,sensitivity_w300_s75,shared_backbone,19209,0.010101056,0.365858085,0.8796471674160989,0.9241710747371957,0.01921085115790547,0.330622675,0.33277586000000003,0.0021531850000000574,0.0021531850000000574,0.047107874999999966,0.04926106000000002,0.0226253125,0.019985801499999997,-0.002639511000000004,0.002639511000000004,True
window,sensitivity_w500_s125,cf_extension,18489,0.0103664355,0.391360535,0.8851117475306177,0.9701204819277108,0.0300693277293506,0.32632022,0.32366905,-0.0026511699999999805,0.0026511699999999805,0.029645085000000015,0.032296254999999996,0.04513121,0.0421716615,-0.002959548499999999,0.002959548499999999,True
window,sensitivity_w500_s125,cf_extension,18508,0.009018836749999998,0.44745659,0.9480270783453396,0.9834147746363942,0.011998526849936277,0.3362863499999999,0.335921865,-0.00036448499999991446,0.00036448499999991446,0.07533691000000009,0.075701395,0.3362863499999999,0.33707845999999997,0.000792110000000068,0.000792110000000068,True
window,sensitivity_w500_s125,cf_extension,18511,0.009131608749999999,0.42397834,0.9499659829863055,0.9746817069073105,0.01353091073744039,0.404366925,0.25730325,-0.147063675,0.147063675,0.031065810000000083,0.11599786499999992,0.0281686935,0.02668736,-0.001481333500000001,0.001481333500000001,False
window,sensitivity_w500_s125,cf_extension,18517,0.011736649,0.349083435,0.9688026066977855,0.9341014736235779,0.014543995336161731,0.328531825,0.32801047,-0.0005213550000000011,0.0005213550000000011,0.007360800000000001,0.0068394449999999996,0.0320469414999999,0.0308467395,-0.0012002019999998968,0.0012002019999998968,True
window,sensitivity_w500_s125,cf_extension,18520,0.014662975,0.437395035,0.9230690627408319,0.9252854605673689,0.012147413878813339,0.42513638,0.33024694,-0.09488943999999999,0.09488943999999999,0.034994709999999984,0.05989473000000001,0.0134436814999999,0.014662975,0.0012192935000001001,0.0012192935000001001,False
window,sensitivity_w500_s125,cf_extension,18855,0.015474063,0.44684980500000004,0.9706443568720734,0.9351690107041711,0.016779267078112732,0.447423815,0.44684980500000004,-0.0005740099999999582,0.0005740099999999582,0.04343311500000002,0.042859105000000064,0.447423815,0.44684980500000004,-0.0005740099999999582,0.0005740099999999582,True
window,sensitivity_w500_s125,cf_extension,18907,0.01519234325,0.430679515,0.9661933242201958,0.9011360821773148,0.016166122828988865,0.33790776,0.33479242,-0.003115340000000022,0.003115340000000022,0.04388734,0.04700268000000002,0.33253816,0.33479242,0.0022542599999999524,0.0022542599999999524,True
window,sensitivity_w500_s125,cf_extension,18912,0.008955918,0.384067335,0.9372584935046565,0.9338357413718618,0.016927850187914616,0.33438474,0.33228351,-0.0021012300000000095,0.0021012300000000095,0.03408770999999999,0.03618894,0.043407945,0.33402335,0.290615405,0.290615405,True
window,sensitivity_w500_s125,cf_extension,19093,0.013475829,0.44555433,0.8466274465738304,0.9574444391110257,0.025707842058621564,0.3366336049999999,0.33389579999999996,-0.0027378049999999265,0.0027378049999999265,0.0733418950000001,0.07607970000000003,0.052113965,0.0464478015,-0.005666163500000002,0.005666163500000002,True
window,sensitivity_w500_s125,cf_extension,19127,0.0109060585,0.449465365,0.9701917464666643,0.9205030480487686,0.010130617630198615,0.33329255,0.331841065,-0.0014514850000000301,0.0014514850000000301,0.07604822,0.07749970500000003,0.335034185,0.0213456775,-0.3136885075,0.3136885075,True
