config,scope,individual,npz_path,window_metadata_path,n_windows,window_size,n_dimensions
primary_w400_s100,shared_backbone,18517,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18517.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18517_windows.csv,66,400,50
primary_w400_s100,shared_backbone,18520,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18520.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18520_windows.csv,73,400,50
primary_w400_s100,shared_backbone,18855,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18855.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18855_windows.csv,37,400,50
primary_w400_s100,shared_backbone,18858,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18858.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18858_windows.csv,103,400,50
primary_w400_s100,shared_backbone,18870,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18870.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18870_windows.csv,108,400,50
primary_w400_s100,shared_backbone,18907,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18907.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18907_windows.csv,47,400,50
primary_w400_s100,shared_backbone,18912,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18912.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18912_windows.csv,100,400,50
primary_w400_s100,shared_backbone,19093,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19093.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19093_windows.csv,126,400,50
primary_w400_s100,shared_backbone,19108,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19108.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19108_windows.csv,32,400,50
primary_w400_s100,shared_backbone,19127,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19127.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19127_windows.csv,58,400,50
