branch,lineage,differentiation,transition_weight,parameter,gdis,potential
0,SC-EC,1,0.75,0.3447329619921362,0.6713024039788275,1.0904729332516148
0,SC-EC,1,0.75,0.366603866317169,0.681960221926964,1.1234048609204448
0,SC-EC,1,0.75,0.38544397116644824,0.7091789858061895,1.2207235305156199
0,SC-EC,1,0.75,0.40956749672346,0.7423417300617864,1.3827362079423766
0,SC-EC,1,0.75,0.43332241153342066,0.7725331656672081,1.5387325767326654
0,SC-EC,1,0.75,0.4536369593709043,0.7939484329702482,1.5923369075912852
0,SC-EC,1,0.75,0.47620412844036697,0.8043693325679292,1.6186171649481726
0,SC-EC,1,0.75,0.49684633027522934,0.8055664493334916,1.630484485557359
0,SC-EC,1,0.75,0.5262925969447709,0.8033590204287739,1.6273756368221013
0,SC-EC,1,0.75,0.5550822561692127,0.8022026338169523,1.6160383514176913
0,SC-EC,1,0.75,0.5893801410105758,0.8017407004732662,1.6107832927137817
0,SC-EC,1,0.75,0.6174720916568743,0.8024937918580356,1.6177347188881464
0,SC-EC,1,0.75,0.6449764982373678,0.804601621508467,1.6321054094470784
0,SC-EC,1,0.75,0.6722238542890717,0.8073120166491108,1.649024873404888
0,SC-EC,1,0.75,0.7029230317273796,0.809568097260956,1.6622734065892517
0,SC-EC,1,0.75,0.734283196239718,0.8105913263458466,1.6678926837963817
0,SC-EC,1,0.75,0.7648354876615746,0.8103178174812262,1.6643860301303122
0,SC-EC,1,0.75,0.7934048178613395,0.8092073942461544,1.6582164377833486
0,SC-EC,1,0.75,0.8227820211515864,0.8081806102153999,1.651273993129435
0,SC-EC,1,0.75,0.8550969447708578,0.8084467792569726,1.6516257671250576
0,SC-EC,1,0.75,0.8909371327849589,0.8109411881100792,1.6647702490458665
0,SC-EC,1,0.75,0.921783196239718,0.8165991235139254,1.6968925612256196
0,SC-EC,1,1.0,0.0240825688073394,0.7007014715675485,1.1636308410463587
0,SC-EC,1,1.0,0.03583715596330275,0.6545684211021507,1.1217696096094536
0,SC-EC,1,1.0,0.04705930537352555,0.6333098851774032,1.0349747363235586
0,SC-EC,1,1.0,0.057298492791612,0.6343581198055168,0.9798391290909069
0,SC-EC,1,1.0,0.06950360419397114,0.655145380998702,1.000256212339477
0,SC-EC,1,1.0,0.082036369593709,0.6929263915796856,1.182236673093278
0,SC-EC,1,1.0,0.10087647444298814,0.7554692563340999,1.4227616196117228
0,SC-EC,1,1.0,0.120740498034076,0.8199676967396284,1.718874998197815
0,SC-EC,1,1.0,0.13765563564875483,0.8710034971888423,2.07783670807931
0,SC-EC,1,1.0,0.15510321100917424,0.8995520467520979,2.6068020205567883
0,SC-EC,1,1.0,0.17132208387942333,0.9093105277169029,2.3383977144636896
0,SC-EC,1,1.0,0.19237385321100914,0.9037243335507175,2.248004110299029
0,SC-EC,1,1.0,0.2093709043250327,0.8889733352506108,2.1428644967636377
0,SC-EC,1,1.0,0.2279652686762778,0.8674055834919533,2.011786814760012
0,SC-EC,1,1.0,0.24569954128440363,0.8437313000713874,1.8788191497842834
0,SC-EC,1,1.0,0.26413007863695936,0.8078238884280546,1.7209659611737422
0,SC-EC,1,1.0,0.2838302752293578,0.7646060473139118,1.469895535757767
0,SC-EC,1,1.0,0.30520969855832236,0.7214363081518306,1.258917046144077
0,SC-EC,1,1.0,0.32527850589777185,0.6869806734991082,1.1321087486419892
0,SC-EC,1,1.0,0.3447329619921362,0.6716828072662984,1.0904729332516148
0,SC-EC,1,1.0,0.366603866317169,0.6818241544853967,1.1234048609204448
