gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
ASCL1,True,0.45287188161764624,2.5986837846670108,5.711985,2,True
ASPH,True,0.5888758991391516,2.530175615847248,4.7066345,2,True
ASPHD2,True,0.37350540017697526,1.981720877258304,1.4396933,2,True
ASPM,True,0.11785273099260835,2.144074335297116,1.6462319,2,True
ASRGL1,True,0.45139904990483487,1.974637821793947,1.4012159,2,True
ASS1,True,0.2247644768333263,2.059988686988061,1.3641193,2,True
ASXL3,True,0.5245310437374107,2.0903362844748457,2.224483,2,True
ATAT1,True,0.43083588902046477,1.9434615285532153,1.1995137,2,True
ATOH1,True,0.07030919048524835,2.0161310286587266,1.1999861,2,True
ATOH7,True,0.06741810882095803,2.307501175208966,2.2100892,2,True
ATP10D,True,0.26251623150110337,1.993611903967248,1.3847399,2,True
ATP8A1,True,0.7027746905716301,2.049018838412018,1.5677048,2,True
ATP8B1,True,0.07031297101076484,2.0314226324891123,1.2504138,2,True
ATP9A,True,1.1863759328005492,2.1024486591896716,0.8762248,2,True
AURKB,True,0.13430518627169488,2.1785386966140163,1.7547572,2,True
AXL,True,0.04883646063773428,2.0267376091060516,1.2479802,2,True
B2M,True,1.2138382333970898,2.207954484513598,1.3421566,2,True
B3GAT1,True,0.7640610732253563,2.1527696628267554,1.7495334,2,True
B3GAT2,True,0.05679911346037893,1.9790315551316617,1.0865629,2,True
BCAT1,True,0.5415721041364341,1.9873138764420406,1.3338718,2,True
BCKDHB,True,0.23314472834100916,1.9508263876889402,0.9922692,2,True
BCL10,True,0.3230943266537302,1.9528232323612233,1.2642736,2,True
BEND7,True,0.18691190739636918,1.9658627005416736,1.0425494,2,True
BEX5,True,0.41474764865487357,2.099362228317476,2.2728517,2,True
BIRC5,True,0.12917613514483578,2.0913371846038005,1.4772532,2,True
BMP4,True,0.1410737172645631,2.164421643055494,1.7112368,2,True
BRINP1,True,0.3059426257737854,1.9800142782719607,1.459183,2,True
BRINP2,True,0.09539841915337413,2.1137513666327825,1.5513153,2,True
BRMS1L,True,0.24946956916001564,1.9594244479098077,1.0212666,2,True
BRSK1,True,0.4104038215070713,2.0641289331932002,2.0463388,2,True
BTBD16,True,0.003815168681288403,2.0300958105039166,1.2485156,2,True
BTG1,True,2.170982127431438,2.3881874315316116,1.2450622,2,True
BTG2,True,1.0922247456502678,2.241436511613272,1.7032411,2,True
BUB1,True,0.048086738380352455,2.033481178254151,1.2647411,2,True
C10orf10,True,1.2066600988875047,2.9861786660626106,4.8631396,2,True
C11orf87,True,0.3309088682020674,1.9513460655647448,1.2478325,2,True
C15orf59,True,0.007542820291909024,2.1441781497535506,1.6616111,2,True
C17orf49,True,0.6985238729770273,1.993546326737683,1.2027681,2,True
C17orf97,True,0.1987825712267466,1.991214293664783,1.1285529,2,True
C1QL1,True,2.422591451587843,2.564323884345744,1.3623654,2,True
C1QTNF1,True,0.010189419347546901,2.074188163494291,1.4185438,2,True
C1orf194,True,0.32883283683686015,1.9741876756196501,1.4169964,2,True
C2CD4A,True,0.14788173145498745,2.037731351961109,1.2868294,2,True
C2CD4B,True,0.13254022285580877,2.0429830179566713,1.2972106,2,True
C2CD4D,True,0.028237763623069047,2.010778787730785,1.1903105,2,True
C2CD5,True,0.5328374043001016,1.9424057335912783,1.0328716,2,True
C6,True,0.08620801747021792,1.922062486546806,0.8906929,2,True
C7,True,0.5136788847030872,2.1093995241793944,2.1639414,2,True
C9orf153,True,0.0023073091917376835,2.191539333749685,1.7966412,2,True
C9orf16,True,1.838626106998739,2.6594656591638044,1.2840897,2,True
C9orf24,True,0.34786770607604256,2.3613161634761557,4.1028743,2,True
CA12,True,0.010382623858725168,2.166428720622974,1.7045376,2,True
CACNA2D1,True,1.1686998380709563,2.200191203435665,1.3255848,2,True
CACNB3,True,0.39408545160847536,1.9135132731964866,0.98451996,2,True
CADM1,True,1.201785528016869,2.1661416851890074,1.1642611,2,True
CADM2,True,0.48337172819970176,2.085029051667851,2.1844978,2,True
CALB1,True,0.1983063753547477,2.297837386300481,2.1693196,2,True
CALB2,True,2.888619337056272,4.087961408248848,3.8987904,2,True
CALCB,True,0.04739449319914471,2.0570347557693385,1.3525964,2,True
CALML6,True,0.001306254428655109,2.195035885034614,1.8266501,2,True
CALN1,True,0.02050922331270242,2.039559834727737,1.3018317,2,True
CALY,True,0.5137739862186381,2.0153283663062265,1.6823115,2,True
CAPN2,True,0.5065344122855329,1.960451562838617,1.3055278,2,True
CAPN3,True,0.0019265378617485049,1.9759341650021423,1.0783627,2,True
CAPN6,True,0.3018601782794375,2.3449856736556978,3.0178719,2,True
CARD10,True,0.45842868551867444,1.9709363158680184,1.3884267,2,True
CASK,True,0.5410215653389553,1.9795577119268013,1.268286,2,True
CBFA2T2,True,1.3569495259892803,2.2007401403782385,1.2316046,2,True
CBLB,True,0.5321204107565922,2.023432608574371,1.7454021,2,True
CBLN1,True,0.6192355091532744,2.3368823578374815,3.4424334,2,True
CBLN2,True,0.223256819845981,2.0398491074310265,1.3015344,2,True
CBLN4,True,0.004366115037486665,2.114895081090526,1.5389864,2,True
CBX4,True,0.42981929840662736,1.9768464843480231,1.4309734,2,True
CCDC34,True,0.37794588947084357,1.8993987194150783,0.8853717,2,True
CCDC80,True,0.36678953258783886,2.1683530434742,2.7364442,2,True
CCK,True,0.0263618993777181,2.7496539313104758,3.717007,2,True
CCNB2,True,0.14563179169874363,2.0809048324613677,1.4295964,2,True
