PC,rank,gene,loading,absolute_loading
9,12,TMEM176B,0.12404061108827591,0.12404061108827591
9,13,MAFB,0.12231482565402985,0.12231482565402985
9,14,GCA,-0.12010786682367325,0.12010786682367325
9,15,NEUROG3,0.1200917512178421,0.1200917512178421
9,16,CD99,0.11758596450090408,0.11758596450090408
9,17,C1QL1,0.11729159206151962,0.11729159206151962
9,18,SPINK1,-0.11579228192567825,0.11579228192567825
9,19,FN1,0.10904227197170258,0.10904227197170258
9,20,MEST,-0.10851188749074936,0.10851188749074936
10,1,IGF2,0.3565438687801361,0.3565438687801361
10,2,CALB2,0.29316088557243347,0.29316088557243347
10,3,GCG,-0.18987634778022766,0.18987634778022766
10,4,VCAN,0.16962707042694092,0.16962707042694092
10,5,MIAT,0.15624843537807465,0.15624843537807465
10,6,RGS16,0.14675317704677582,0.14675317704677582
10,7,ALDH1A1,-0.13437771797180176,0.13437771797180176
10,8,VIM,0.13345517218112946,0.13345517218112946
10,9,TTR,-0.12519913911819458,0.12519913911819458
10,10,TUBA1B,-0.12467333674430847,0.12467333674430847
10,11,FABP7,0.12278278917074203,0.12278278917074203
10,12,TPH1,0.12082577496767044,0.12082577496767044
10,13,SOX4,0.11904797703027725,0.11904797703027725
10,14,XBP1,-0.11887772381305695,0.11887772381305695
10,15,UCHL1,-0.11366192251443863,0.11366192251443863
10,16,SSTR2,0.11258238554000854,0.11258238554000854
10,17,MNX1,-0.10966527462005615,0.10966527462005615
10,18,SLC7A5,0.10612393915653229,0.10612393915653229
10,19,CHGA,-0.10117091238498688,0.10117091238498688
10,20,GAL,0.10098302364349365,0.10098302364349365
